,,,,,,
,,,,,,
,AAPL,MAR,SAFM,NEM,XOM,
April21,166.42,184.17,188.5,77.06,87.03,
April 14,165.29,180.51,189.13,84.77,87.83,
April 7,172.14,164.66,187.42,81.03,85.05,
,,,,,,
,,,,,,
,model5,model6,model7,model10,model11,Actual S&P Close
April 21,4453.65315,4398.247926,4399.393657,4521.964031,4401.447712,"4,393.66"
April 14,4301.77435,4327.545053,4310.553853,4491.661995,4311.831264,"4,392.59"
April 7,4256.54238,4399.516128,4409.573669,4468.331013,4408.804913,"4,500.21"
,,,,,,
April 21,59.99,4.59,5.73,128.30,7.79,
April 14,-90.82,-65.04,-82.04,99.07,-80.76,
April 7,-243.67,-100.69,-90.64,-31.88,-91.41,
 difference sum,-274.49,-161.15,-166.94,195.50,-164.38,